OrderID,DateKey,CustomerID,ProductID,RepID,Quantity,Discount,SalesAmount,CostAmount,Profit,Region
100060,20230508,24,1044,11,7,0.15,3648.24,2488.15,1160.09,Asia Pacific
100061,20230118,223,1099,7,1,0.15,604.75,355.4,249.35,Europe
100062,20240719,87,1024,13,1,0.05,344.73,247.46,97.27,Asia Pacific
100063,20240723,114,1000,7,3,0.1,996.95,513.88,483.07,Europe
100064,20241116,185,1066,6,7,0.0,658.25,410.42,247.83,Europe
100065,20240917,191,1007,8,1,0.0,126.06,86.04,40.02,Europe
100066,20250503,166,1076,14,2,0.0,268.61,154.33,114.28,Asia Pacific
100067,20250819,139,1098,12,7,0.0,5336.72,2532.39,2804.33,Asia Pacific
100068,20230604,232,1067,15,5,0.0,3002.4,1887.25,1115.15,Asia Pacific
100069,20240504,58,1047,14,3,0.0,1814.23,1040.02,774.21,Asia Pacific
100070,20250223,149,1023,1,4,0.0,1123.64,635.52,488.12,North America
100071,20230903,69,1006,3,3,0.2,1194.6,1001.43,193.17,North America
100072,20251128,109,1020,13,4,0.05,437.7,263.92,173.78,Asia Pacific
100073,20250128,45,1019,9,6,0.0,3473.74,2048.01,1425.73,Europe
100074,20240621,244,1042,6,3,0.0,684.13,429.54,254.59,Europe
100075,20250709,237,1022,9,1,0.0,252.12,132.95,119.17,Europe
100076,20240212,87,1091,14,4,0.0,3466.09,1658.72,1807.37,Asia Pacific
100077,20240608,173,1013,9,7,0.0,1159.14,657.54,501.6,Europe
100078,20250407,180,1053,9,5,0.0,2051.33,1036.02,1015.31,Europe
100079,20250621,126,1014,12,2,0.2,636.25,592.72,43.53,Asia Pacific
100080,20230205,142,1020,2,1,0.2,74.31,53.21,21.1,North America
100081,20241115,100,1073,10,4,0.0,1929.58,1101.09,828.49,Europe
100082,20230120,147,1063,12,1,0.1,612.67,328.12,284.55,Asia Pacific
100083,20231117,222,1013,6,8,0.2,946.24,670.96,275.28,Europe
100084,20240526,234,1038,9,2,0.1,853.13,693.62,159.51,Europe
100085,20240204,212,1001,10,1,0.2,484.61,329.44,155.17,Europe
100086,20241015,244,1042,8,2,0.15,387.67,286.36,101.31,Europe
100087,20250829,54,1070,1,4,0.1,2624.83,1910.44,714.39,North America
100088,20240415,190,1071,9,1,0.0,354.33,225.58,128.75,Europe
100089,20250413,224,1067,5,3,0.15,1898.72,1404.11,494.61,North America
100090,20241227,167,1051,9,5,0.0,1271.42,723.35,548.07,Europe
100091,20250503,49,1088,4,4,0.2,1817.46,1378.48,438.98,North America
100092,20230220,99,1064,1,3,0.1,36.83,23.25,13.58,North America
100093,20240728,22,1009,3,2,0.0,614.52,393.39,221.13,North America
100094,20230530,148,1093,3,3,0.1,1592.84,983.4,609.44,North America
100095,20231110,27,1056,6,1,0.05,716.89,372.23,344.66,Europe
100096,20240723,33,1020,1,4,0.0,416.15,238.38,177.77,North America
100097,20231101,67,1032,4,2,0.0,414.8,231.94,182.86,North America
100098,20241112,76,1052,11,2,0.0,1241.16,814.22,426.94,Asia Pacific
100099,20250417,36,1012,1,4,0.2,1474.23,918.34,555.89,North America
100100,20251213,5,1021,3,1,0.15,41.49,23.04,18.45,North America
100101,20250929,84,1014,5,1,0.2,318.12,296.36,21.76,North America
100102,20240319,29,1095,12,2,0.1,177.51,93.59,83.92,Asia Pacific
100103,20240904,166,1087,14,2,0.2,678.4,582.04,96.36,Asia Pacific
100104,20250919,87,1087,12,2,0.0,938.85,644.4,294.45,Asia Pacific
100105,20230921,159,1016,12,1,0.15,56.21,30.7,25.51,Asia Pacific
100106,20251212,84,1076,1,4,0.05,510.36,308.66,201.7,North America
100107,20250930,33,1037,4,4,0.0,2757.51,1409.68,1347.83,North America
100108,20230105,207,1043,13,5,0.05,2609.55,1465.95,1143.6,Asia Pacific
100109,20250212,126,1023,11,3,0.0,842.73,476.64,366.09,Asia Pacific
100110,20250526,122,1082,14,6,0.15,527.61,302.51,225.1,Asia Pacific
100111,20250918,57,1029,15,1,0.15,38.38,28.35,10.03,Asia Pacific
100112,20250602,66,1090,8,2,0.0,485.86,346.51,139.35,Europe
100113,20230216,132,1082,8,2,0.05,158.52,81.32,77.2,Europe
100114,20250516,23,1062,9,2,0.1,357.28,235.67,121.61,Europe
100115,20250402,211,1007,11,5,0.0,697.81,476.28,221.53,Asia Pacific
100116,20250724,77,1040,8,1,0.2,638.61,428.95,209.66,Europe
100117,20241017,163,1084,3,2,0.15,73.63,47.29,26.34,North America
100118,20230926,53,1035,2,1,0.2,366.8,310.04,56.76,North America
100119,20240105,5,1041,3,3,0.05,587.87,455.95,131.92,North America
100120,20240927,158,1081,14,2,0.0,1018.95,571.74,447.21,Asia Pacific
100121,20241018,233,1065,12,3,0.1,770.52,570.8,199.72,Asia Pacific
100122,20230430,44,1075,1,4,0.0,2205.32,1455.08,750.24,North America
100123,20250410,18,1014,15,3,0.0,1192.97,889.08,303.89,Asia Pacific
100124,20251217,104,1099,8,2,0.2,1411.56,881.39,530.17,Europe
100125,20250110,166,1087,15,1,0.2,375.54,322.2,53.34,Asia Pacific
100126,20230427,176,1013,14,2,0.05,280.91,167.74,113.17,Asia Pacific
100127,20250301,153,1054,13,6,0.2,777.33,709.63,67.7,Asia Pacific
100128,20251009,151,1060,11,2,0.0,1692.28,803.37,888.91,Asia Pacific
100129,20251217,246,1046,9,2,0.0,1367.7,757.66,610.04,Europe
100130,20240925,144,1089,14,3,0.15,1524.9,1260.03,264.87,Asia Pacific
100131,20240527,232,1079,11,1,0.1,194.88,110.73,84.15,Asia Pacific
100132,20250312,172,1093,1,5,0.05,3474.75,2032.36,1442.39,North America
100133,20240713,151,1064,12,1,0.05,14.51,8.68,5.83,Asia Pacific
100134,20240502,169,1071,12,7,0.2,1984.27,1579.05,405.22,Asia Pacific
100135,20250615,222,1078,6,1,0.0,665.94,335.41,330.53,Europe
100136,20241204,62,1059,8,5,0.2,2859.99,2002.34,857.65,Europe
100137,20240803,105,1064,7,4,0.05,58.05,34.72,23.33,Europe
100138,20250228,177,1035,14,1,0.1,511.69,384.45,127.24,Asia Pacific
100139,20250510,15,1060,4,4,0.1,3046.1,1606.74,1439.36,North America
100140,20230904,182,1058,6,7,0.05,3147.64,2257.15,890.49,Europe
100141,20230603,224,1048,4,5,0.0,1781.5,1057.4,724.1,North America
100142,20250923,29,1063,13,4,0.2,2701.18,1627.48,1073.7,Asia Pacific
100143,20241127,41,1033,2,5,0.0,686.95,339.75,347.2,North America
100144,20251228,101,1046,7,4,0.2,2188.31,1515.33,672.98,Europe
100145,20251206,27,1005,7,2,0.1,63.68,32.56,31.12,Europe
100146,20251005,192,1080,14,3,0.0,1044.84,559.0,485.84,Asia Pacific
100147,20230404,41,1048,1,5,0.2,1425.2,1057.4,367.8,North America
100148,20250815,163,1007,1,4,0.0,558.25,381.03,177.22,North America
100149,20251008,199,1014,6,2,0.0,795.31,592.72,202.59,Europe
100150,20240328,15,1024,2,5,0.15,1542.19,1237.32,304.87,North America
100151,20250630,58,1044,13,4,0.05,2889.16,1763.03,1126.13,Asia Pacific
100152,20230806,125,1000,7,3,0.2,791.23,458.82,332.41,Europe
100153,20240418,47,1062,12,3,0.0,537.84,319.3,218.54,Asia Pacific
100154,20240307,26,1087,15,1,0.1,381.6,291.02,90.58,Asia Pacific
100155,20231207,228,1089,4,1,0.0,533.93,375.01,158.92,North America
100156,20240704,33,1043,5,4,0.15,2092.04,1313.49,778.55,North America
100157,20231223,219,1024,14,1,0.2,259.19,220.95,38.24,Asia Pacific
100158,20230123,130,1082,9,1,0.1,75.09,40.66,34.43,Europe
100159,20240605,62,1063,8,1,0.2,609.94,367.49,242.45,Europe
100160,20250312,238,1020,9,3,0.0,345.55,197.94,147.61,Europe
100161,20250131,189,1030,15,2,0.0,607.1,393.15,213.95,Asia Pacific
100162,20240317,44,1013,4,2,0.0,331.18,187.87,143.31,North America
100163,20250207,106,1090,3,1,0.2,194.34,173.25,21.09,North America
100164,20251012,168,1089,14,1,0.0,662.07,465.01,197.06,Asia Pacific
100165,20240530,16,1077,15,1,0.0,670.35,441.65,228.7,Asia Pacific
100166,20251105,228,1095,4,5,0.05,518.61,259.04,259.57,North America
100167,20250302,130,1062,7,5,0.1,893.19,589.19,304.0,Europe
100168,20231202,68,1041,9,5,0.0,920.85,678.5,242.35,Europe
100169,20230915,237,1055,6,2,0.2,276.19,238.9,37.29,Europe
100170,20240511,26,1098,14,3,0.05,1962.54,980.28,982.26,Asia Pacific
100171,20250614,100,1033,9,6,0.0,912.66,451.38,461.28,Europe
100172,20230609,105,1018,6,2,0.0,347.86,250.64,97.22,Europe
100173,20250501,140,1081,3,2,0.2,902.5,633.0,269.5,North America
100174,20241120,236,1055,5,5,0.05,918.34,668.92,249.42,North America
100175,20240115,221,1096,14,1,0.0,755.31,403.95,351.36,Asia Pacific
100176,20250814,233,1061,11,4,0.0,906.34,647.83,258.51,Asia Pacific
100177,20241121,198,1003,15,4,0.05,247.27,125.17,122.1,Asia Pacific
100178,20251202,111,1096,10,5,0.0,4181.16,2236.15,1945.01,Europe
100179,20231012,185,1007,7,4,0.05,427.69,307.28,120.41,Europe
100180,20240201,117,1047,6,1,0.1,544.27,346.67,197.6,Europe
100181,20230112,59,1060,10,7,0.0,4776.59,2267.58,2509.01,Europe
100182,20240513,10,1010,8,1,0.0,393.85,276.28,117.57,Europe
100183,20250123,177,1051,13,1,0.05,267.45,160.17,107.28,Asia Pacific
100184,20230204,231,1014,8,1,0.0,320.69,239.0,81.69,Europe
100185,20241227,225,1017,15,4,0.0,3510.04,1731.16,1778.88,Asia Pacific
100186,20250428,14,1088,13,4,0.0,2271.83,1378.48,893.35,Asia Pacific
100187,20230331,165,1017,13,2,0.0,1566.98,772.84,794.14,Asia Pacific
100188,20250214,39,1086,15,1,0.0,386.53,257.03,129.5,Asia Pacific
100189,20240827,155,1033,7,3,0.0,412.17,203.85,208.32,Europe
100190,20250827,42,1078,12,4,0.2,2131.01,1341.63,789.38,Asia Pacific
100191,20251018,213,1052,4,1,0.15,584.01,450.73,133.28,North America
100192,20240222,162,1014,8,1,0.15,305.3,267.68,37.62,Europe
100193,20230425,52,1028,9,1,0.0,58.98,39.95,19.03,Europe
100194,20240908,32,1088,11,4,0.2,1641.58,1245.08,396.5,Asia Pacific
100195,20250405,66,1064,10,1,0.0,16.91,9.61,7.3,Europe
100196,20240217,15,1070,4,4,0.0,2634.24,1725.56,908.68,North America
100197,20241229,55,1081,3,7,0.0,3566.34,2001.08,1565.26,North America
100198,20251017,130,1015,8,3,0.0,1324.58,911.33,413.25,Europe
100199,20250130,148,1051,5,3,0.2,675.67,480.51,195.16,North America
100200,20241106,20,1022,3,4,0.05,865.33,480.35,384.98,North America
100201,20240401,227,1031,1,4,0.15,2051.64,1488.93,562.71,North America
100202,20250708,166,1092,12,5,0.2,1004.15,662.72,341.43,Asia Pacific
100203,20230711,109,1034,12,1,0.0,75.38,34.45,40.93,Asia Pacific
100204,20250108,202,1073,15,2,0.2,854.53,609.53,245.0,Asia Pacific
100205,20250904,10,1045,10,1,0.15,106.93,64.78,42.15,Europe
100206,20251005,41,1008,4,4,0.05,1045.36,620.89,424.47,North America
100207,20230406,242,1087,6,2,0.05,719.28,519.68,199.6,Europe
100208,20241024,239,1043,15,4,0.1,2215.1,1313.49,901.61,Asia Pacific
100209,20230206,14,1086,11,1,0.0,311.72,207.28,104.44,Asia Pacific
100210,20231006,173,1052,10,4,0.0,2216.36,1453.96,762.4,Europe
100211,20230805,170,1013,3,5,0.0,739.25,419.35,319.9,North America
100212,20250516,140,1023,2,6,0.0,1685.46,953.29,732.17,North America
100213,20250522,248,1052,9,5,0.0,3435.36,2253.64,1181.72,Europe
100214,20230303,70,1052,2,6,0.2,2659.63,2180.94,478.69,North America
100215,20240818,199,1070,7,4,0.0,2634.24,1725.56,908.68,Europe
100216,20241229,147,1052,15,1,0.1,558.52,407.11,151.41,Asia Pacific
100217,20240201,173,1097,8,2,0.15,426.99,311.18,115.81,Europe
100218,20241129,61,1000,4,8,0.1,2658.54,1370.34,1288.2,North America
100219,20251108,167,1094,10,8,0.1,2902.49,2124.96,777.53,Europe
100220,20230626,32,1070,11,4,0.05,2234.4,1540.68,693.72,Asia Pacific
100221,20240131,167,1006,10,2,0.0,1114.96,747.73,367.23,Europe
100222,20240320,60,1007,9,5,0.2,504.22,430.19,74.03,Europe
100223,20230317,248,1015,7,1,0.0,356.07,244.98,111.09,Europe
100224,20230922,85,1070,10,3,0.0,1764.0,1155.51,608.49,Europe
100225,20240330,5,1007,3,1,0.0,126.06,86.04,40.02,North America
100226,20241218,195,1008,11,5,0.0,1242.36,701.01,541.35,Asia Pacific
100227,20250104,188,1070,1,4,0.0,2916.48,1910.44,1006.04,North America
100228,20250430,235,1057,4,5,0.0,3297.78,1582.18,1715.6,North America
100229,20230524,60,1098,8,5,0.05,2920.44,1458.75,1461.69,Europe
100230,20250603,42,1027,14,5,0.15,2706.78,1495.25,1211.53,Asia Pacific
100231,20251228,122,1026,12,5,0.2,3927.43,2331.82,1595.61,Asia Pacific
100232,20240131,161,1084,2,1,0.1,38.98,23.64,15.34,North America
100233,20251114,239,1046,15,2,0.05,1299.31,757.66,541.65,Asia Pacific
100234,20250805,115,1074,9,6,0.0,292.24,188.46,103.78,Europe
100235,20250609,172,1039,1,5,0.0,1276.27,908.86,367.41,North America
100236,20240722,67,1062,5,2,0.2,286.85,212.87,73.98,North America
100237,20251128,72,1093,14,4,0.05,2779.8,1625.89,1153.91,Asia Pacific
100238,20230419,39,1001,15,4,0.1,1947.1,1176.56,770.54,Asia Pacific
100239,20251201,11,1083,9,4,0.1,863.03,653.28,209.75,Europe
100240,20250723,125,1054,8,5,0.0,809.72,591.36,218.36,Europe
100241,20240202,229,1087,15,4,0.15,1441.59,1164.08,277.51,Asia Pacific
100242,20240925,113,1011,15,2,0.1,395.58,269.7,125.88,Asia Pacific
100243,20250102,154,1041,10,2,0.1,411.07,336.54,74.53,Europe
100244,20230823,52,1058,7,8,0.0,3786.64,2579.6,1207.04,Europe
100245,20241019,17,1075,13,2,0.15,1049.73,814.84,234.89,Asia Pacific
100246,20250120,27,1028,7,1,0.0,73.14,49.54,23.6,Europe
100247,20240810,96,1028,10,2,0.0,132.12,89.49,42.63,Europe
100248,20251029,33,1004,3,5,0.05,2766.36,1503.13,1263.23,North America
100249,20250811,145,1036,2,2,0.0,36.21,17.81,18.4,North America
100250,20240506,83,1060,8,8,0.1,5502.63,2902.5,2600.13,Europe
100251,20250701,20,1099,1,2,0.0,1764.45,881.39,883.06,North America
100252,20230619,67,1069,1,4,0.0,1292.84,594.52,698.32,North America
100253,20250803,236,1038,4,4,0.1,1889.08,1535.86,353.22,North America
100254,20250305,213,1008,1,6,0.05,1568.04,931.34,636.7,North America
100255,20240925,197,1068,11,1,0.0,454.41,235.11,219.3,Asia Pacific
100256,20230129,228,1073,4,1,0.15,366.1,245.78,120.32,North America
100257,20231205,81,1085,3,2,0.15,609.45,545.28,64.17,North America
100258,20240514,99,1026,4,3,0.0,2660.52,1263.7,1396.82,North America
100259,20240525,100,1088,10,4,0.1,1846.78,1245.08,601.7,Europe
100260,20230805,133,1035,7,6,0.0,2751.0,1860.24,890.76,Europe
100261,20251229,63,1083,11,1,0.0,239.73,163.32,76.41,Asia Pacific
100262,20240320,224,1060,4,3,0.1,2063.49,1088.44,975.05,North America
100263,20250525,166,1090,11,6,0.1,1311.81,1039.52,272.29,Asia Pacific
100264,20230616,113,1027,15,2,0.1,924.52,482.34,442.18,Asia Pacific
100265,20230401,95,1081,4,2,0.2,727.82,510.48,217.34,North America
100266,20241214,232,1083,12,2,0.1,389.75,295.03,94.72,Asia Pacific
100267,20230208,16,1026,12,1,0.1,712.64,376.1,336.54,Asia Pacific
100268,20230622,81,1096,2,4,0.0,2697.52,1442.68,1254.84,North America
100269,20241014,83,1036,9,1,0.05,15.53,8.04,7.49,Europe
100270,20250123,15,1079,2,2,0.2,383.57,245.2,138.37,North America
100271,20251217,121,1064,14,7,0.05,112.48,67.27,45.21,Asia Pacific
100272,20240420,190,1076,9,5,0.0,606.54,348.49,258.05,Europe
100273,20240331,123,1002,15,4,0.15,365.45,298.5,66.95,Asia Pacific
100274,20250408,164,1066,1,5,0.05,494.52,324.57,169.95,North America
100275,20250613,139,1000,15,2,0.0,817.61,379.29,438.32,Asia Pacific
100276,20251021,148,1038,1,2,0.0,1049.49,767.93,281.56,North America
100277,20240122,229,1065,14,3,0.15,727.71,570.8,156.91,Asia Pacific
100278,20231214,93,1027,3,7,0.0,3595.34,1688.19,1907.15,North America
100279,20230709,35,1063,3,3,0.0,2042.22,984.36,1057.86,North America
100280,20240519,67,1009,3,2,0.2,491.62,393.39,98.23,North America
100281,20250403,125,1025,10,3,0.0,2883.22,1443.32,1439.9,Europe
100282,20250717,59,1025,9,2,0.0,1922.15,962.22,959.93,Europe
100283,20250722,51,1054,14,1,0.0,161.94,118.27,43.67,Asia Pacific
100284,20230514,143,1077,10,1,0.15,508.75,394.33,114.42,Europe
100285,20230227,159,1079,15,1,0.15,164.33,98.87,65.46,Asia Pacific
100286,20241115,153,1063,14,7,0.15,4536.45,2572.46,1963.99,Asia Pacific
100287,20241102,66,1058,10,1,0.0,530.13,361.14,168.99,Europe
100288,20230622,103,1098,7,2,0.2,983.73,583.5,400.23,Europe
100289,20250325,110,1059,4,1,0.1,712.44,443.37,269.07,North America
100290,20230321,90,1092,13,3,0.15,516.25,320.67,195.58,Asia Pacific
100291,20250604,62,1074,8,3,0.2,116.9,94.23,22.67,Europe
100292,20230722,3,1021,3,4,0.0,157.44,74.32,83.12,North America
100293,20250202,72,1072,15,4,0.0,777.03,582.85,194.18,Asia Pacific
100294,20230216,57,1021,11,3,0.0,118.08,55.74,62.34,Asia Pacific
100295,20241017,78,1023,7,1,0.0,253.72,143.51,110.21,Europe
100296,20240415,112,1099,15,5,0.1,3585.81,1990.24,1595.57,Asia Pacific
100297,20250828,234,1077,9,2,0.0,1484.35,977.94,506.41,Europe
100298,20251101,25,1045,9,4,0.2,402.55,259.11,143.44,Europe
100299,20250105,60,1013,10,3,0.15,467.5,312.0,155.5,Europe
100300,20250222,26,1019,14,4,0.0,2315.82,1365.34,950.48,Asia Pacific
100301,20250825,3,1077,5,1,0.2,593.74,488.97,104.77,North America
100302,20231224,236,1018,5,1,0.2,139.14,125.32,13.82,North America
100303,20250829,154,1019,7,1,0.15,492.11,341.33,150.78,Europe
100304,20241029,15,1042,1,5,0.05,1083.21,715.9,367.31,North America
100305,20240108,231,1052,7,3,0.15,1582.48,1221.33,361.15,Europe
100306,20251028,244,1072,7,3,0.05,553.64,437.14,116.5,Europe
100307,20241106,19,1062,5,1,0.15,152.39,106.43,45.96,North America
100308,20230331,99,1064,5,4,0.0,54.56,31.0,23.56,North America
100309,20241128,69,1065,3,5,0.2,1141.5,951.33,190.17,North America
100310,20240623,6,1084,7,1,0.0,43.31,23.64,19.67,Europe
100311,20250101,52,1025,6,2,0.0,1922.15,962.22,959.93,Europe
100312,20250518,6,1043,8,2,0.15,1158.09,727.11,430.98,Europe
100313,20230210,190,1093,8,1,0.2,471.95,327.8,144.15,Europe
100314,20250109,22,1066,3,2,0.05,197.81,129.83,67.98,North America
100315,20240516,6,1035,9,4,0.0,2054.08,1388.98,665.1,Europe
100316,20250816,240,1003,5,3,0.0,216.13,103.94,112.19,North America
100317,20250717,85,1025,8,1,0.0,961.07,481.11,479.96,Europe
100318,20240405,53,1071,2,2,0.0,708.67,451.16,257.51,North America
100319,20250101,200,1029,4,1,0.2,36.12,28.35,7.77,North America
100320,20250121,103,1041,7,1,0.0,228.37,168.27,60.1,Europe
100321,20250713,39,1043,13,1,0.0,681.23,363.56,317.67,Asia Pacific
100322,20250627,13,1051,1,2,0.0,563.06,320.34,242.72,North America
100323,20240125,157,1044,12,1,0.0,686.73,398.1,288.63,Asia Pacific
100324,20250601,48,1069,14,1,0.1,360.7,184.3,176.4,Asia Pacific
100325,20230913,45,1066,10,2,0.05,159.52,104.7,54.82,Europe
100326,20241209,38,1054,9,2,0.2,234.04,213.65,20.39,Europe
100327,20240325,212,1018,6,3,0.1,525.96,421.08,104.88,Europe
100328,20230110,109,1098,12,8,0.05,4672.71,2334.0,2338.71,Asia Pacific
100329,20250403,248,1024,8,3,0.0,1205.24,821.93,383.31,Europe
100330,20250308,196,1078,11,5,0.0,3329.71,1677.04,1652.67,Asia Pacific
100331,20250526,206,1026,2,5,0.2,3927.43,2331.82,1595.61,North America
100332,20251025,141,1030,1,2,0.15,516.04,393.15,122.89,North America
100333,20251012,120,1094,3,4,0.0,1612.5,1062.48,550.02,North America
100334,20240109,110,1003,3,1,0.0,65.07,31.29,33.78,North America
100335,20251224,225,1052,12,4,0.0,2748.29,1802.91,945.38,Asia Pacific
100336,20230526,239,1039,14,3,0.2,494.04,439.77,54.27,Asia Pacific
100337,20230812,14,1038,11,3,0.2,1015.63,928.95,86.68,Asia Pacific
100338,20230626,43,1012,8,4,0.0,1486.12,740.6,745.52,Europe
100339,20250502,157,1058,15,1,0.2,469.54,399.84,69.7,Asia Pacific
100340,20230304,215,1060,15,4,0.15,2320.06,1295.76,1024.3,Asia Pacific
100341,20250406,56,1030,12,1,0.0,303.55,196.58,106.97,Asia Pacific
100342,20250305,208,1035,1,7,0.0,3979.78,2691.15,1288.63,North America
100343,20241119,223,1090,9,2,0.0,438.84,312.97,125.87,Europe
100344,20230415,74,1063,10,3,0.2,1633.78,984.36,649.42,Europe
100345,20240525,73,1050,9,2,0.0,73.02,39.0,34.02,Europe
100346,20240120,126,1062,13,1,0.05,170.31,106.43,63.88,Asia Pacific
100347,20240209,157,1003,11,2,0.05,123.64,62.59,61.05,Asia Pacific
100348,20250402,38,1073,7,3,0.15,1361.91,914.3,447.61,Europe
100349,20240601,170,1002,2,4,0.05,408.45,298.5,109.95,North America
100350,20240420,158,1028,11,3,0.05,188.26,134.23,54.03,Asia Pacific
100351,20241209,98,1055,6,5,0.0,966.67,668.92,297.75,Europe
100352,20250209,139,1045,14,1,0.0,125.8,64.78,61.02,Asia Pacific
100353,20251112,11,1089,10,4,0.05,2515.88,1860.05,655.83,Europe
100354,20250923,127,1009,14,1,0.15,289.15,217.77,71.38,Asia Pacific
100355,20241107,209,1059,1,4,0.05,2716.99,1601.87,1115.12,North America
100356,20241214,195,1070,14,1,0.0,658.56,431.39,227.17,Asia Pacific
100357,20230324,191,1021,6,4,0.2,125.95,74.32,51.63,Europe
100358,20240401,83,1057,9,1,0.1,536.16,285.81,250.35,Europe
100359,20230101,7,1065,9,2,0.0,509.6,339.76,169.84,Europe
100360,20230220,105,1022,10,1,0.2,162.66,107.22,55.44,Europe
100361,20241115,170,1056,1,2,0.0,1690.35,833.8,856.55,North America
100362,20241217,159,1061,15,2,0.15,347.92,292.57,55.35,Asia Pacific
100363,20240324,229,1083,12,3,0.05,617.11,442.55,174.56,Asia Pacific
100364,20250530,114,1054,6,3,0.0,485.83,354.81,131.02,Europe
100365,20240502,21,1096,10,1,0.05,717.54,403.95,313.59,Europe
100366,20230203,93,1074,4,5,0.1,176.76,126.65,50.11,North America
